No,Control ID,Control Name,Attestation Statement,Modification Statement
1,AC-7,Unsuccessful Login Attempts,"·        For privileged user accounts, the system locks the account for at least 15 minutes after three consecutive unsuccessful login attempts.",☐ Inherited    ☐ Partially-Inherited
,,,,
2,AC-20,Use of External Information Systems,"·        Where information systems exist outside the authorization boundary and interconnect with this system, trust relationship terms and conditions exist and are in force with each external entity.",☐ Inherited    ☐ Partially-Inherited
3,AT-2,Security Awareness Training,·        Security awareness training materials exist.,☐ Inherited    ☐ Partially-Inherited
,,,·        Secure awareness training materials are up-to-date and refreshed at least annually.,
,,,·        Every staff member undergoes security awareness training at least annually. ,
4,AT-3,Role-Based Security Training,·        Privileged users receive security training targeted to their role at least annually.,☐ Inherited    ☐ Partially-Inherited
5,AT-4,Security Training Records,·        Security training records are maintained for at least one year.,☐ Inherited    ☐ Partially-Inherited
6,AU-2,Audit Events,·        The system continuously logs for the following:,☐ Inherited    ☐ Partially-Inherited
,,,-       Successful and unsuccessful account login attempts,
,,,-       Account management events,Describe here the frequency with which event logs are reviewed.
,,,"-       Object access, policy change",
,,,"-       Privilege functions, process tracking",
,,,-       System events ,
,,,"·        For web applications, the system also continuously logs the following: ",
,,,-       All administrator activity,
,,,-       Authentication checks,
,,,-       Authorization checks,
,,,-       Data deletions,
,,,-       Data access,
,,,-       Data changes,
,,,-       permission changes,
,,,·        These event logs are reviewed on a regular basis as described in the Modification Statement column to the right.,
7,AU-8,Time Stamps,·        The event logs generated above are time synchronized and time-stamped in coordinated universal time (UTC).,☐ Inherited    ☐ Partially-Inherited
8,AU-9,Protection of Audit Information,"·        The event logs are protected from unauthorized access, modification, and deletion.",☐ Inherited    ☐ Partially-Inherited
9,AU-12,Audit Generation,·        All information system and network components generating logs as described in AU-2 above.,☐ Inherited    ☐ Partially-Inherited
10,CA-2 (1),"Security Assessments, Independent Assessors",·        An independent assessor has assessed the system with focus on the “Required” security controls.,☐ Inherited    ☐ Partially-Inherited
11,CA-5,Plan of Action and Milestones (POA&M),·        A POA&M for the system exists and is updated at least monthly in accordance with the FedRAMP Tailored Continuous Monitoring Guide.,☐ Inherited    ☐ Partially-Inherited
12,CM-2,Baseline Configuration,·        The configuration of the system is fully documented and maintained. ,☐ Inherited    ☐ Partially-Inherited
,,,·        It is up-to-date at this time.,
13,CM-7,Least Functionality,·        The system is configured to only allow documented and authorized functionality.,☐ Inherited    ☐ Partially-Inherited
,,,"·        A list of prohibited or restricted functions, ports, protocols, and/or services exists.",
,,,"·        The list is consistently enforced across the system, especially at the perimeter.",
14,IA-2,Identification and Authentication (Organizational Users),"·        Privileged users are consistently authenticated by two or more authentication factors (something the user is, something the user has, something the users knows).",☐ Inherited    ☐ Partially-Inherited
15,IA-4,Identifier Management,"·        Unique identifiers are assigned to each user, device, and service account.",☐ Inherited    ☐ Partially-Inherited
,,,·        Identifiers are not re-used for at least two years.,
,,,·        Identifiers are disabled after 90 days of inactivity.,
16,IA-5,Authenticator Management,·        Authenticators are refreshed every 60 days.,☐ Inherited    ☐ Partially-Inherited
17,IA-5 (1),Authenticator Management | Password-Based Authentication,·        Passwords are case sensitive.,☐ Inherited    ☐ Partially-Inherited
,,,"·        A mechanism ensures passwords are a minimum of twelve characters, with at least one each of upper-case letters, lower-case letters, numbers, and special characters.",
,,,·        At least one character in the password must change for a new password to be accepted.,
,,,·        The user is prevented from re-using their previous 24 passwords.,
,,,·        A user must wait at least one day between password changes. A user must change their password within 60 days.,
18,IA-7,Cryptographic Module Authentication,·        The authentication cryptographic module is FIPS 140-2 validated with an issued certificate number.,☐ Inherited    ☐ Partially-Inherited
19,IA-8,Identification and Authentication (Non-Organizational Users) ,"·        Non-organizational users, systems, and services are each uniquely identified within the system.",☐ Inherited    ☐ Partially-Inherited
20,IA-8 (3),Identification and Authentication (Non-Organizational Users) | Acceptance of FICAM-Approved Products,"·        The system is able to integrate with other Federal Identity, Credential, and Access Management (FICAM)-approved identity management capabilities.",☐ Inherited    ☐ Partially-Inherited
21,IA-8 (4),Identification and Authentication (Non-Organizational Users) | Use of FICAM-Issued Profiles,·        The information system conforms to FICAM-issued profiles.,☐ Inherited    ☐ Partially-Inherited
22,IR-2,Incident Response Training,·        Administrators receive incident response training at least annually.,☐ Inherited    ☐ Partially-Inherited
23,IR-5,Incident Monitoring,"·        For each security incident identified, incident response staff track it to closure.",☐ Inherited    ☐ Partially-Inherited
24,IR-7,Incident Response Assistance,·        Incident response resources and capabilities are available to users of the system who may have experienced a security incident.,☐ Inherited    ☐ Partially-Inherited
25,IR-8,Incident Response Plan,·        An Incident Response Plan exists.,☐ Inherited    ☐ Partially-Inherited
,,,·        The Incident Response Plan is reviewed at least annually and updated as needed.,
,,,·        The incident response plan ensures the Department of Homeland Security (DHS) United States Computer Emergency Readiness Team (US CERT) is notified of security incidents consistent with their reporting requirements.,
26,IR-9,Information Spillage Response,·        A capability exists for prompt and secure removal of sensitive or classified information from the system in the event of an information spill.,☐ Inherited    ☐ Partially-Inherited
27,MA-2,Controlled Maintenance,·        System maintenance is regularly scheduled and performed.,☐ Inherited    ☐ Partially-Inherited
,,,"·        All maintenance activities require an approval, and are monitored. ",
,,,·        Maintenance records are consistently maintained.,
,,,"·        Whenever a maintenance activity impacts a security control, the control is always tested at the conclusion of the maintenance to ensure it is still functioning properly.",
28,MA-4,Non-local Maintenance,·        Non-local maintenance activities require an approval and are monitored.,☐ Inherited    ☐ Partially-Inherited
,,,·        Non-local maintenance sessions are terminated upon completion of the maintenance activity.,
29,MA-5,Maintenance Personnel,·        A process exists for authorizing maintenance personnel.,☐ Inherited    ☐ Partially-Inherited
,,,·        A list of authorized maintenance personnel exists and is maintained.,
,,,·        Unauthorized personnel performing maintenance are supervised by authorized personnel.,
30,MP-2,Media Access,·        Removable media is strictly prohibited within the system’s authorization boundary.,☐ Inherited    ☐ Partially-Inherited
31,MP-6,Media Sanitization,"·        Any component used within the authorization boundary is securely sanitized upon removal from the system, prior to disposal or re-use.",☐ Inherited    ☐ Partially-Inherited
32,MP-7,Media Use,·        Users are prohibited from attaching media to the system.,☐ Inherited    ☐ Partially-Inherited
33,PE-2,Physical Access Authorizations,·        A process exists for authorizing physical access to the system for personnel.,☐ Inherited    ☐ Partially-Inherited
