No,Control ID,Control Name,Attestation Statement,Modification Statement
28,MA-4,Non-local Maintenance,"* Non-local maintenance activities require an approval and are monitored.* Non-local maintenance sessions are terminated upon completion of the maintenance activity.",_ Inherited    _ Partially-Inherited
29,MA-5,Maintenance Personnel,"* A process exists for authorizing maintenance personnel.* A list of authorized maintenance personnel exists and is maintained.* Unauthorized personnel performing maintenance are supervised by authorized personnel.",_ Inherited    _ Partially-Inherited
30,MP-2,Media Access,* Removable media is strictly prohibited within the system’s authorization boundary.,_ Inherited    _ Partially-Inherited
31,MP-6,Media Sanitization,"* Any component used within the authorization boundary is securely sanitized upon removal from the system, prior to disposal or re-use.",_ Inherited    _ Partially-Inherited
32,MP-7,Media Use,* Users are prohibited from attaching media to the system.,_ Inherited    _ Partially-Inherited
33,PE-2,Physical Access Authorizations,"* A process exists for authorizing physical access to the system for personnel.* A list of authorized personnel with physical access exists and is maintained.* The list is reviewed and adjusted at least annually.* Authorized personnel are issued credentials for facility access.* Unauthorized personnel requiring physical access are supervised by authorized personnel.",_ Inherited    _ Partially-Inherited
34,PE-3,Physical Access Control,"* Physical access controls are in place and enforcing physical access rights.* Access audit logs are maintained for all individuals entering and exiting the facility.* A physical inventory of assets is maintained. * The physical asset inventory is reviewed at least annually for accuracy.",_ Inherited    _ Partially-Inherited
35,PE-6,Monitoring Physical Access,"* Physical access is monitored.* Physical access logs are reviewed at least monthly.",_ Inherited    _ Partially-Inherited
36,PE-8,Visitor Access Records,"* Visitor logs for physical access are maintained for at least one year, and reviewed at least monthly.",_ Inherited    _ Partially-Inherited
37,PE-12,Emergency Lighting,"* Emergency lighting is deployed in each facility, which activates automatically in the event of a power outage or disruption.* Emergency lighting covers emergency exits and evacuation routes within each facility.",_ Inherited    _ Partially-Inherited
38,PE-13,Fire Protection,"* A fire detection and suppression capability exists to protect the system.* The fire detection and suppression capability is supported by an independent energy source.",_ Inherited    _ Partially-Inherited
39,PE-14,Temperature and Humidity Controls,"* The temperature and humidity of the system’s physical environment is monitored continuously.* The temperature and humidity of the system’s physical environment is maintained consistent with the American Society of Heating, Refrigerating and Air-conditioning Engineers (ASHRAE) document entitled Thermal Guidelines for Data Processing Environments.",_ Inherited    _ Partially-Inherited
40,PE-15,Water Damage Protection,"* To protect the system from water damage, the facilities where the system is housed have master shutoff or isolation valves that are accessible, working properly, and known to key personnel.",_ Inherited    _ Partially-Inherited
41,PE-16,Delivery and Removal,"* Authorize, monitor and control all information system components entering and exiting the facilities where the system is housed, and keep records of those items.",_ Inherited    _ Partially-Inherited
42,PL-4,Rules of Behavior,"* The rules of behavior for staff in contact with the system exists and is updated at least every three years.* Every staff member reads and signs the rules of behavior before receiving access to the system.",_ Inherited    _ Partially-Inherited
43,PS-4,Personnel Termination,"* All access to the system is disabled and revoked the same day a staff member is terminated.* All information and resources formerly controlled by the terminated individual is retained by another authorized staff member. ",_ Inherited    _ Partially-Inherited
44,PS-5,Personnel Transfer,"* All access to the system is disabled and revoked within 24 hours following the formal transfer action for DoD customers or within five days for non-DoD customers.* All information and resources formerly controlled by the transferred individual is retained by another authorized staff member.",_ Inherited    _ Partially-Inherited
45,PS-6,Access Agreements,"* Access agreements exist for every role a staff member may hold relative to the system.* The access agreements are reviewed and updated at least annually.* Every staff member with access to the system signs an access agreement appropriate for the staff member’s role or level of access. ",_ Inherited    _ Partially-Inherited
46,PS-7,Third-Party Personnel Security,* All third-party security personnel are treated as CSP employees.,_ Inherited    _ Partially-Inherited
47,PS-8,Personnel Sanctions,* Formal sanctions exist and are employed for individuals failing to comply with established information security policies and procedures.,_ Inherited    _ Partially-Inherited
48,SA-2,Allocation of Resources,"* An adequate budget exists to address security requirements for this system.* Adequate staff are dedicated to the security of this system.",_ Inherited    _ Partially-Inherited
49,SA-3,System Development Life Cycle (SDLC),"* The system is maintained using an existing SDLC methodology and capability, which incorporates security considerations throughout the lifecycle.",_ Inherited    _ Partially-Inherited
50,SA-4,Acquisition Process,* An acquisition process exists and ensures components and services are acquired for the system meet all relevant security requirements and regulations.,_ Inherited    _ Partially-Inherited
51,SA-4 (10),Acquisition Process | Use of Approved Personal Identity Verification (PIV) Products,* All components acquired in support of PIV requirements are on the FIPS 201-approved products list.,_ Inherited    _ Partially-Inherited
52,SA-5,Information System Documentation,"* Administrator documentation exists for the information system, all system components, and all system services.* The documentation describes the secure configuration, installation, and operation.",_ Inherited    _ Partially-Inherited
53,SC-20,"Secure Name /Address Resolution Service(Authoritative Source)","* The system or supporting infrastructure provides additional validation of the authoritative name resolution data returned by the system in response to external name/address resolution, such as Domain Name System Security Extensions (DNSSEC).",_ Inherited    _ Partially-Inherited
54,SC-21,"Secure Name /Address Resolution Service(Recursive or Caching Resolver)","* The system or supporting infrastructure performs additional validation of name/address resolution responses received from authoritative sources, such as DNSSEC.",_ Inherited    _ Partially-Inherited
55,SC-22,"Architecture and Provisioning forName/Address Resolution Service","* Collectively, the name/address resolution service is fault-tolerant and appropriately works within the fault-tolerant aspects of the system.",_ Inherited    _ Partially-Inherited
56,SC-39,Process Isolation,* The system maintains a separate execution domain for each executing process and customer instance.,_ Inherited    _ Partially-Inherited
57,SI-5,"Security Alerts, Advisories, and Directives","* Systems administrators or incident response staff receive security alerts from all vendors represented within the system, as well as from the Department of Homeland Security (DHS) United States Computer Emergency Readiness Team (US CERT).* Our incident response staff create and disseminate security alerts and advisories to system administrators, appropriate staff, and users of the system.",_ Inherited    _ Partially-Inherited
58,SI-12,Information Handling and Retention ,"* Information in the system is retrained in compliance with the National Archives & Records Administration (NARA) Records Schedule.* Information within the system is maintained, protected, and destroyed in compliance with all applicable Federal laws, Executive Orders, directives, policies, regulations, standards, and operational requirements.",_ Inherited    _ Partially-Inherited
59,Citizenship,n/a,"* Staff members with access to the system include:Check boxes to the right.",_ US Persons _ Non-US Persons
60,Geography,n/a,"* All components of the system reside:Check boxes to the right",_ Fully within the United States _ Partially or fully outside the United States
